Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
IT,Certified,94111,ACROPETAL; INC.,Software Developers; Applications,INDIA
Other Economic Sector,Certified,94103,GOULD EVANS,Architectural and Civil Drafters,SOUTH KOREA
Not Available,Certified,94107,CRUNCHYROLL; INC.,Software Developers; Applications,SOUTH KOREA
Other Economic Sector,Certified,94104,RAINFOREST ACTION NETWORK,Environmental Scientists and Specialists; Including Health,UNITED KINGDOM
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,KAZAKHSTAN
IT,Certified,94103,TWITTER; INC.,Software Developers; Systems Software,INDIA
Aerospace,Certified,94105,BECHTEL POWER CORPORATION,Civil Engineers,SOUTH KOREA
IT,Certified,94105,GROUNDWORK OPEN SOURCE; INC.,Software Developers; Applications,INDIA
Finance,Certified,94105,BLACKROCK INSTITUTIONAL TRUST COMPANY; N.A.,Software Developers; Systems Software,INDIA
Other Economic Sector,Certified,94108,CODE AND THEORY (SF) LLC,Art Directors,TAIWAN
Retail,Certified,94105,GAP INC.,Purchasing Managers,INDIA
IT,Certified,94103,TWITTER; INC.,Software Developers; Systems Software,CHINA
IT,Certified,94105,SALESFORCE.COM,Accountants and Auditors,HONG KONG
IT,Certified,94105,SALESFORCE.COM,Software Developers; Applications,CANADA
Not Available,Certified,94103,ZYNGA INC.,Software Developers; Systems Software,INDIA
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,CHINA
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,INDIA
Finance,Certified,94105,BLUE SHIELD OF CALIFORNIA,Computer Systems Analysts,INDIA
IT,Certified,94105,COREMEDIA CORPORATION,Marketing Managers,SOUTH AFRICA
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,CHINA
Not Available,Certified,94103,ZYNGA INC.,Software Developers; Applications,INDIA
Other Economic Sector,Certified,94104,ZINIO LLC,Computer and Information Systems Managers,UNITED KINGDOM
Finance,Certified,94104,UNION BANK; N.A.,Public Relations Specialists,JAPAN
Finance,Certified,94105,BLUE SHIELD OF CALIFORNIA,Software Developers; Applications,INDIA
Retail,Certified,94105,SEPHORA USA INC,Computer Systems Analysts,INDIA
Not Available,Certified,94103,AMPUSH MEDIA; INC.,Software Developers; Applications,INDIA
Other Economic Sector,Certified,94105,M. ARTHUR GENSLER JR. AND ASSOCIATES INC.,Architects; Except Landscape and Naval,ITALY
Finance,Certified,94105,CHARLES SCHWAB & CO.; INC.,Software Developers; Applications,INDIA
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,MEXICO
IT,Certified,94105,RIVERBED TECHNOLOGY INC.,Software Developers; Applications,RUSSIA
Finance,Certified,94105,CHARLES SCHWAB & CO.; INC.,Software Developers; Applications,INDIA
Finance,Certified,94105,DELTA DENTAL OF CALIFORNIA,Software Developers; Applications,INDIA
IT,Certified,94105,PRESYNCT TECHNOLOGIES; INC.,Software Developers; Applications,INDIA
Aerospace,Certified,94104,SENER ENGINEERING AND SYSTEMS; INC.,Mechanical Engineers,SPAIN
IT,Certified,94105,SALESFORCE.COM,Software Developers; Applications,UKRAINE
Other Economic Sector,Certified,94104,ZINIO LLC,Software Developers; Applications,INDIA
IT,Certified,94102,APPIRIO INC.,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,94104,ADS ALLIANCE DATA SYSTEMS; INC.,Database Administrators,INDIA
IT,Certified,94105,CALYPSO TECHNOLOGY; INC.,Market Research Analysts and Marketing Specialists*,AUSTRALIA
IT,Certified,94105,CALYPSO TECHNOLOGY; INC.,Software Developers; Systems Software,INDIA
Energy,Certified,94120,PACIFIC GAS & ELECTRIC CO,Purchasing Managers,CANADA
IT,Certified,94103,TWITTER; INC.,Software Developers; Applications,ROMANIA
Other Economic Sector,Certified,94104,ADS ALLIANCE DATA SYSTEMS; INC.,Software Developers; Applications,MEXICO
Finance,Certified,94105,DELTA DENTAL OF CALIFORNIA,Computer Systems Analysts,INDIA
Finance,Certified,94105,DELTA DENTAL OF CALIFORNIA,Software Developers; Applications,INDIA
IT,Certified,94102,APPIRIO INC.,Computer Systems Analysts,INDIA
Health Care,Certified,94117,SAN FRANCISCO HEALTH CARE,Medical and Health Services Managers,CHINA
Finance,Certified,94104,NYSE ARCA; INC,Software Developers; Systems Software,INDIA
Other Economic Sector,Certified,94103,ON24,Software Developers; Applications,INDIA
Finance,Certified,94111,BOOM PLANNING,Financial Analysts,PERU
Construction,Certified,94130,LIQUIDYN; INC.,Mechanical Drafters,PHILIPPINES
IT,Certified,94111,A2Z DEVELOPMENT CENTER; INC,Software Developers; Applications,INDIA
IT,Certified,94105,RIVERBED TECHNOLOGY INC.,Software Developers; Systems Software,ITALY
Not Available,Certified,94107,STUMBLEUPON; INC,Software Developers; Applications,INDIA
Finance,Certified,94105,VECTOR CAPITAL CORPORATION,Financial Analysts,PAKISTAN
Retail,Certified,94107,SQUARETRADE,Software Developers; Systems Software,INDIA
IT,Certified,94105,SALESFORCE.COM,Software Developers; Systems Software,INDIA
