['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Civil Engineers', 'INDIA']
['Health Care', 'Certified', '90020', 'LIM ACUPUNCTURE AND HERBS CLINIC, INC', 'Health Diagnosing and Treating Practitioners, All Other', 'SOUTH KOREA']
['IT', 'Certified', '90045', 'KELAR CORPORATION', 'Management Analysts', 'CANADA']
['IT', 'Certified', '90064', 'UTOPIACOMPRESSION CORPORATION', 'Biomedical Engineers', 'INDIA']
['Advanced Mfg', 'Certified', '90001', 'R. MITCHEL, INC.', 'Market Research Analysts and Marketing Specialists*', 'CHINA']
['Advanced Mfg', 'Certified', '90047', 'ADVANCE PAPER BOX COMPANY', 'Accountants and Auditors', 'CHINA']
['Other Economic Sector', 'Certified', '90021', 'GRACE FASHION AMERICA, INC.', 'Executive Secretaries and Executive Administrative Assistants', 'SOUTH KOREA']
['Automotive', 'Certified', '90021', 'GRAND PRIX AUTO BODY, INC.', 'Compliance Officers', 'SOUTH KOREA']
['Finance', 'Certified', '90015', 'J&J FINANCIAL INSURANCE SERVICE, INC.', 'Bookkeeping, Accounting, and Auditing Clerks', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90045', 'PRIMEX INTERNATIONAL TRADING CORP.', 'Logisticians', 'JAPAN']
['Advanced Mfg', 'Certified', '90007', 'H. STARLET, LLC', 'Fashion Designers', 'TAIWAN']
['Finance', 'Certified', '90010', 'FARMERS GROUP, INC.', 'Computer Systems Analysts', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'UNITED KINGDOM']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['', 'Certified', '90025', 'CML MEDIA CORP.', 'Computer Systems Analysts', 'INDIA']
['', 'Certified', '90025', 'CML MEDIA CORP.', 'Database Administrators', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'UNITED KINGDOM']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'INDIA']
['', 'Certified', '90021', 'HAN CLOTHING, INC.', 'Fabric and Apparel Patternmakers', 'SOUTH KOREA']
['', 'Certified', '90036', 'AEG LIVE', 'Agents and Business Managers of Artists, Performers, and Athletes', 'BRAZIL']
['Other Economic Sector', 'Certified', '90015', 'SYNDERO, INC', 'Database Administrators', 'INDIA']
['Other Economic Sector', 'Certified', '90058', 'TRUE WORLD FOODS LOS ANGELES LLC', 'Public Relations and Fundraising Managers', 'JAPAN']
['Retail', 'Certified', '90006', 'DH &LO, INC DBA THE OLYMPIC GOLF', 'Athletic Trainers', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90010', 'AXIOM CREDIT SOLUTIONS, LLC', 'Accountants and Auditors', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90010', 'SANG AM & ASSOCIATES, INC.', 'Art Directors', 'SOUTH KOREA']
['Health Care', 'Certified', '90005', 'WELL BEING Q ACUPUNCTURIST INC.', 'Health Diagnosing and Treating Practitioners, All Other', 'CANADA']
['Other Economic Sector', 'Certified', '90021', 'HOLY-G, INC.', 'Sales Managers', 'SOUTH KOREA']
['Hospitality', 'Certified', '90020', 'O JANG DONG, INC.', 'Food Preparation Workers', 'SOUTH KOREA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'INDIA']
['Other Economic Sector', 'Certified', '90011', 'OFFLINE, INC.', 'Software Developers, Applications', 'SOUTH KOREA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['IT', 'Certified', '90025', 'JUST GAMES INTERACTIVE ENTERTAINMENT, LLC', 'Multimedia Artists and Animators', 'JAPAN']
['IT', 'Certified', '90025', 'JUST GAMES INTERACTIVE ENTERTAINMENT, LLC', 'Market Research Analysts and Marketing Specialists*', 'JAPAN']
['IT', 'Certified', '90036', 'CHROME RIVER TECHNOLOGIES, INC.', 'Computer Systems Analysts', 'INDIA']
['Health Care', 'Certified', '90006', 'KORYO HEALTH FOUNDATION', 'Medical and Health Services Managers', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90015', 'MICHELLE, INC.', 'Market Research Analysts and Marketing Specialists*', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90021', 'HOLY-G, INC.', 'Market Research Analysts and Marketing Specialists*', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90058', 'AMEN TRADING, INC.', 'Market Research Analysts and Marketing Specialists*', 'SOUTH KOREA']
['Finance', 'Certified', '90010', 'TAXMOWER ACCOUNTANCY CORP.', 'Accountants and Auditors', 'SOUTH KOREA']
['IT', 'Certified', '90067', 'TWENTIETH CENTURY FOX FILM CORP.', 'Software Developers, Applications', 'INDIA']
['Retail', 'Certified', '90031', 'FOREVER 21, INC. (MERGED WITH FASHION 21, INC.)', 'Purchasing Managers', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90025', 'CBRE, INC', 'Computer Systems Analysts', 'INDIA']
['Retail', 'Certified', '90010', 'E-RADIO KOREA USA.COM, INC.', 'Computer Systems Analysts', 'SOUTH KOREA']
['Finance', 'Certified', '90017', 'VASQUEZ & COMPANY LLP', 'Accountants and Auditors', 'PHILIPPINES']
