Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Educational Services,Certified,93944,US ARMY DEFENSE LANGUAGE INSTITUTE FOREIGN LA,Foreign Language and Literature Teachers; Postsecondary,SOUTH KOREA
Educational Services,Certified,93944,US ARMY DEFENSE LANGUAGE INSTITUTE FOREIGN LA,Foreign Language and Literature Teachers; Postsecondary,SOUTH KOREA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Software Developers; Applications,INDIA
Advanced Mfg,Certified,95134,CISCO SYSTEMS; INC.,Computer and Information Systems Managers,INDIA
Other Economic Sector,Certified,33605,KFORCE INC.,Computer Software Engineers; Systems Software,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,75204,AFFILIATED COMPUTER SERVICES; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,66210,SAICON CONSULTANTS INC,Computer Software Engineers; Systems Software,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Electronics Engineers; Except Computer,INDIA
IT,Certified,53186,EXEC SEARCH INC,Software Developers; Applications,INDIA
Aerospace,Certified,75038,TECHGENE SOLUTIONS LLC,Computer Software Engineers; Applications,INDIA
Hospitality,Certified,11023,LAZZARI CORP.,Chefs and Head Cooks,ECUADOR
Not Available,Certified,07936,NOVARTIS PHARMACEUTICALS CORPORATION,Statisticians,CANADA
Educational Services,Certified,28723,WESTERN CAROLINA UNIVERSITY,Criminal Justice and Law Enforcement Teachers; Postsecondary,SOUTH KOREA
IT,Certified,33607,SYSTEM SOFT TECHNOLOGIES LLC,Computer Software Engineers; Applications,INDIA
IT,Certified,08816,WIPRO LIMITED,Computer and Information Systems Managers,INDIA
IT,Certified,60563,PARASOFT; INC.,Computer Systems Analysts,INDIA
IT,Certified,08817,IT BUSINESS MANAGEMENT SOLUTIONS INC,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,28262,ELECTROLUX HOME PRODUCTS; INC.,Marketing Managers,INDIA
IT,Certified,78759,STARMOUNT SYSTEMS INC.,Computer Software Engineers; Applications,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Computer Software Engineers; Systems Software,SOUTH KOREA
Finance,Certified,19801,ING BANK; FSB,Computer Support Specialists,GERMANY
Other Economic Sector,Certified,10038,NYSARC; INC.;NYC CHAPTER,Budget Analysts,TRINIDAD AND TOBAGO
Other Economic Sector,Certified,07074,ORADELL INTERNATIONAL CORP.,File Clerks,SOUTH KOREA
IT,Certified,94065,ORACLE AMERICA; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,01760,THE MATHWORKS; INC.,Computer Software Engineers; Applications,CHINA
Other Economic Sector,Certified,77024,UNIVERSE TECHNICAL TRANSLATION,Interpreters and Translators,AZERBAIJAN
Hospitality,Certified,60805,CHI TUNG RESTAURANT INC.,Chefs and Head Cooks,CHINA
IT,Certified,01702,GLASSHOUSE TECHNOLOGIES INC.,Computer and Information Systems Managers,UNITED KINGDOM
IT,Certified,94065,ORACLE AMERICA; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,15275,MASTECH; INC.; A MASTECH HOLDINGS; INC. COMPANY,Computer Software Engineers; Applications,INDIA
IT,Certified,94065,ORACLE AMERICA; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,98052,INSPUR WORLDWIDE SERVICES LTD.,Database Administrators,CHINA
Not Available,Certified,94080,GENENTECH,Chemical Engineers,NIGERIA
Finance,Certified,06152,CIGNA CGLIC,Database Administrators,INDIA
IT,Certified,46240,GGYAXIS INC.,Actuaries,CANADA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Applications,CHINA
IT,Certified,02116,SAPIENT CORPORATION,Database Administrators,INDIA
Finance,Certified,46240,DEERFIELD FINANCIAL ADVISORS; INC,Financial Analysts,SLOVAKIA
Transportation,Certified,99502,GRANT AVIATION; INC.,Advertising and Promotions Managers,JAPAN
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,10033,JEANINE MARIE DARMIENTO,Childcare Workers,GUYANA
