[['job_info_work_city', 'job_info_work_state']]
[['Redmond', 'WASHINGTON']]
[['McCalla', 'ALABAMA']]
[['New York', 'NEW YORK']]
[['Redmond', 'WASHINGTON']]
[['Sunnyvale', 'CALIFORNIA']]
[['Burlington', 'MASSACHUSETTS']]
[['San Jose', 'CALIFORNIA']]
[['San Jose', 'CALIFORNIA']]
[['Dallas', 'TEXAS']]
[['San Jose', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Austin', 'TEXAS']]
[['NEW YORK', 'NEW YORK']]
[['Santa Fe Springs', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Braintree', 'MASSACHUSETTS']]
[['Camarillo', 'CALIFORNIA']]
[['Huntington Park', 'CALIFORNIA']]
[['Bothell', 'WASHINGTON']]
[['Columbus', 'OHIO']]
[['Tampa', 'FLORIDA']]
[['SAN DIEGO', 'CALIFORNIA']]
[['New York', 'NEW YORK']]
[['TULSA', 'OKLAHOMA']]
[['DEEP RIVER', 'CONNECTICUT']]
[['Princeton', 'NEW JERSEY']]
[['Liberty Corner', 'NEW JERSEY']]
[['San Diego', 'CALIFORNIA']]
[['Austin', 'TEXAS']]
[['San Jose', 'CALIFORNIA']]
[['Durham', 'NORTH CAROLINA']]
[['San Jose', 'CALIFORNIA']]
[['Washington', 'DISTRICT OF COLUMBIA']]
[['PLYMOUTH', 'MINNESOTA']]
[['Overland Park', 'KANSAS']]
[['Irvine', 'CALIFORNIA']]
[['San Jose', 'CALIFORNIA']]
[['Richardson', 'TEXAS']]
[['Parsippany', 'NEW JERSEY']]
[['Sunnyvale', 'CALIFORNIA']]
[['Tampa', 'FLORIDA']]
[['Tampa', 'FLORIDA']]
[['Windsor', 'VERMONT']]
[['San Jose', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Teaneck', 'NEW JERSEY']]
[['Sterling', 'VIRGINIA']]
[['Goleta', 'CALIFORNIA']]
[['San Jose', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Collierville', 'TENNESSEE']]
[['Teaneck', 'NEW JERSEY']]
[['Middletown', 'NEW JERSEY']]
[['Fremont', 'CALIFORNIA']]
[['Teaneck', 'NEW JERSEY']]
[['Princeton', 'NEW JERSEY']]
[['Morgantown, WV', 'WEST VIRGINIA']]
[['Iselin', 'NEW JERSEY']]
[['Piscataway', 'NEW JERSEY']]
[['Pensacola', 'FLORIDA']]
[['Duluth', 'GEORGIA']]
[['Independence', 'LOUISIANA']]
[['Northville', 'MICHIGAN']]
[['Irvine', 'CALIFORNIA']]
[['New York', 'NEW YORK']]
[['Duluth', 'GEORGIA']]
[['Northville', 'MICHIGAN']]
[['NEW YORK', 'NEW YORK']]
[['Atlanta', 'GEORGIA']]
[['Parsippany', 'NEW JERSEY']]
[['Los Angeles', 'CALIFORNIA']]
[['Los Angeles', 'CALIFORNIA']]
[['Newark', 'DELAWARE']]
[['Palo Alto', 'CALIFORNIA']]
[['Troy', 'MICHIGAN']]
[['NORCROSS', 'GEORGIA']]
[['Richardson', 'TEXAS']]
[['Bala Cynwyd', 'PENNSYLVANIA']]
[['Haskell', 'NEW JERSEY']]
[['Ventura', 'CALIFORNIA']]
[['Waukesha', 'WISCONSIN']]
[['Upland', 'INDIANA']]
[['NEW YORK', 'NEW YORK']]
[['Teaneck', 'NEW JERSEY']]
[['Commerce', 'CALIFORNIA']]
[['San Diego', 'CALIFORNIA']]
[['Wilmington', 'DELAWARE']]
[['Marina Del Rey', 'CALIFORNIA']]
[['Farmington', 'MICHIGAN']]
[['Somerset', 'NEW JERSEY']]
[['Houston', 'TEXAS']]
[['Foothill Ranch', 'CALIFORNIA']]
[['Cranberry Township', 'PENNSYLVANIA']]
[['Long Beach', 'CALIFORNIA']]
[['Waltham', 'MASSACHUSETTS']]
[['Pacoima', 'CALIFORNIA']]
[['Rockville', 'MARYLAND']]
[['Rockville', 'MARYLAND']]
[['Shawnee', 'OKLAHOMA']]
[['Champaign', 'ILLINOIS']]
[['Teaneck', 'NEW JERSEY']]
[['Duluth', 'GEORGIA']]
[['Atlanta', 'GEORGIA']]
[['Irving', 'TEXAS']]
[['Dallas', 'TEXAS']]
[['Middletown', 'NEW JERSEY']]
[['Chattanooga', 'TENNESSEE']]
[['Teaneck', 'NEW JERSEY']]
[['Clearwater', 'FLORIDA']]
[['Teaneck', 'NEW JERSEY']]
[['Frisco', 'TEXAS']]
[['Teaneck', 'NEW JERSEY']]
[['Conroe', 'TEXAS']]
[['Burlington', 'MASSACHUSETTS']]
[['Herndon', 'VIRGINIA']]
[['Richmond', 'VIRGINIA']]
[['Teaneck', 'NEW JERSEY']]
[['Minneapolis', 'MINNESOTA']]
[['Teaneck', 'NEW JERSEY']]
[['Beverly Hills', 'CALIFORNIA']]
[['Duluth', 'GEORGIA']]
[['San Francisco', 'CALIFORNIA']]
[['Oakland', 'CALIFORNIA']]
[['Houston', 'TEXAS']]
[['Phoenix', 'ARIZONA']]
